# planets   transits   detectable
    23766        270           20
    23174        232           40
    22996        288           46
    23394        220           28
    22932        236           30
    23396        232           32
    23036        240           30
    23368        224           14
    23016        258           40
    22878        226           40
    22976        258           34
    23186        232           20
    23036        244           32
    23314        246           24
    23008        236           30
    23042        234           22
    22762        252           24
    22960        252           26
    23056        266           28
    22888        234           30
    22864        278           34
    23294        286           32
    22900        272           30
    23456        252           42
    23276        228           30
    23360        260           22
    23210        202           16
    22790        206           22
    23598        242           36
    23206        260           34
    23220        268           26
    22884        252           26
    23070        266           32
    22974        212           32
    23126        230           18
    23090        238           22
    23088        244           30
    22876        236           36
    22876        252           26
    23140        278           38
    23006        252           30
    22892        270           40
    23150        232           34
    23044        230           24
    22950        256           14
    23420        226           28
    23132        238           28
    23064        240           28
    23074        258           34
    23090        220           18
    23532        258           34
    23374        260           20
    23410        254           38
    23008        282           24
    22776        272           28
    23022        228           26
    22806        260           30
    23024        248           16
    22794        248           32
    23556        272           24
    23062        212           24
    22800        234           40
    22686        248           34
    22948        232           34
    23398        272           34
    23274        200           16
    22770        168           12
    23010        232           28
    23126        240           44
    22816        228           18
    22908        282           30
    23280        246           32
    22916        284           22
    22866        250           24
    22960        214           24
    23266        206           30
    23162        264           16
    23530        216           16
    22416        216           24
    23266        256           30
    23070        196           22
    22838        246           36
    23336        240           10
    23072        280           44
    23198        288           50
    23044        246           28
    23178        240           30
    22726        264           20
    22926        228           16
    23096        252           32
    23594        206           20
    22992        276           28
    22936        268           26
    23644        278           38
    22924        224           14
    22906        278           36
    23174        232           36
    23310        252           28
    23078        198           26
    22824        220           22
    23162        252           16
    22938        254           22
    23110        238           24
    23290        228           28
    23144        246           24
    23020        254           38
    23050        258           32
    23422        244           30
    23150        252           36
    22968        230           24
    23160        232           26
    22972        266           32
    23254        232           20
    23160        276           22
    22990        264           30
    23312        278           44
    22918        266           26
    23186        222           32
    23282        236           34
    22932        264           24
    23094        234           38
    23040        212           28
    23042        272           32
    23260        280           24
    23280        262           46
    22876        240           22
    23016        246           26
    22838        276           40
    22920        254           24
    22836        204           26
    23728        224           22
    23276        216           28
    23266        254           24
    23170        270           30
    22914        234           38
    22882        240           24
    23314        250           28
    23330        270           22
    23052        216           30
    23044        248           24
    22918        236           38
    23356        262           24
    23224        226           30
    22810        228           24
    22932        282           18
    23198        226           24
    22928        236           20
    23354        254           26
    22850        252           26
    22880        286           34
    23114        204           28
    22976        240           18
    23122        258           36
    23108        234           28
    23024        256           20
    22946        224           16
    23116        232           18
    23272        248           40
    22708        232           28
    23202        220           18
    22708        252           24
    23148        234           22
    23148        298           40
    23260        260           28
    23164        270           32
    22740        210           16
    23224        208           24
    23074        256           28
    23120        260           22
    23330        232           18
    23186        276           26
    23186        244           26
    22964        256           40
    22930        236           26
    22824        232           18
    22996        284           32
    22884        244           30
    23062        284           38
    22914        220           22
    23098        230           30
    22962        246           18
    23022        252           36
    23156        254           42
    23162        210           24
    23342        230           24
    23230        236           30
    22498        238           18
    23070        236           34
    23340        270           24
    22938        248           22
    23180        246           24
    23120        228           30
    23336        270           24
    23420        208           32
    23186        280           40
    23044        230           22
    22796        258           32
    23090        264           34
    23008        246           24
    22608        234           14
    23140        222           22
    23010        268           36
    23020        264           42
    22954        230           22
    23518        302           28
    23204        228           42
    23468        230           24
    23326        248           22
    23138        240           32
    23094        270           34
    23364        288           32
    23014        292           40
    23134        218           20
    23076        250           26
    23184        254           36
    22878        238           24
    23252        240           30
    23384        246           22
    23322        226           20
    23216        248           22
    23390        284           30
    23238        202           16
    22914        234           36
    23170        262           30
    23042        244           28
    23014        242           16
    23182        250           32
    23114        320           44
    23392        256           22
    23096        220           22
    23312        252           34
    22864        248           36
    23208        266           18
    22808        210           28
    23216        254           16
    23274        268           26
    23262        226           22
    22886        278           40
    22884        252           26
    23080        208           22
    22690        234           36
    23018        244           26
    23514        256           24
    23044        266           30
    23222        242           18
    23212        236           32
    23246        226           28
    22954        248           32
    23130        248           34
    23108        244           28
    23072        224           20
    23202        254           32
    23106        254           24
    22890        268           20
    22986        284           56
    23234        188           16
    22846        266           30
    22882        240           28
    22786        242           36
    22550        266           20
    23462        242           22
    23034        198           26
    22902        204           18
    23248        258           26
    23012        252           24
    22886        256           32
    23076        220           20
    23128        268           32
    23286        236           30
    23088        236           22
    23116        232           28
    23076        224           44
    23242        266           40
    23292        238           30
    22748        278           26
    22974        208           26
    22936        252           28
    22830        280           28
    22876        234           24
    22900        238           36
    23354        240           24
    23340        214           30
    23198        246           26
    23126        252           26
    23284        248           24
    22918        248           22
    22980        200           26
    23206        270           32
    22760        234           30
    22960        252           26
    23262        258           26
    23492        218           18
    23014        238           14
    22874        200           24
    23436        268           20
    22790        208           30
    23184        222           26
    23242        256           24
    22906        240           36
    22932        276           42
    23094        236           28
    22886        208           40
    23234        232           10
    22966        224           22
    23040        248           32
    23204        246           28
    22900        242           36
    23086        262           32
    23340        262           46
    23150        226           22
    22934        244           36
    23050        266           32
    22902        282           18
    22974        240           30
    22746        254           26
    22856        232           20
    23352        252           34
    22660        224           28
    22866        220           26
    23082        244           24
    23590        270           28
    22942        258           42
    23200        276           18
    22874        172           16
    22736        268           42
    23176        232           24
    23094        218           22
